id,state,abbr,poverty,no_health_insurance,income,income(thousands),unemployment rate,,
1,Alabama,AL,19.3,13.9,59464,59.464,8.6,0.307848781,-0.385781297
2,Alaska,AK,11.2,15,89094,89.094,7.6,0.524484363,-0.385781297
3,Arizona,AZ,18.2,14.4,68103,68.103,7.9,,
4,Arkansas,AR,18.9,16.3,57693,57.693,6.8,,
5,California,CA,16.4,14.8,88595,88.595,8.5,,
6,Colorado,CO,12,12.8,82295,82.295,5.5,,
7,Connecticut,CT,10.8,8.7,100948,100.948,7.9,,
8,Delaware,DE,12.5,8.7,78773,78.773,6.7,,
9,District of Columbia,DC,17.7,8.3,103525,103.525,8.9,,
10,Florida,FL,16.5,17.6,67510,67.51,8,,
11,Georgia,GA,18.3,20.9,68820,68.82,8.3,,
12,Hawaii,HI,11.4,8.1,86866,86.866,5.4,,
13,Idaho,ID,14.8,16.5,64115,64.115,5.5,,
14,Illinois,IL,14.4,11.9,79379,79.379,8.1,,
15,Indiana,IN,15.2,14.8,64422,64.422,7.1,,
16,Iowa,IA,12.2,7.7,69618,69.618,4.4,,
17,Kansas,KS,13.6,14.5,71045,71.045,5.2,,
18,Kentucky,KY,19.1,10,59057,59.057,7.6,,
19,Louisiana,LA,19.8,18.7,63728,63.728,7.5,,
20,Maine,ME,14.1,11,65842,65.842,5.9,,
21,Maryland,MD,10.1,9.2,97016,97.016,7.2,,
22,Massachusetts,MA,11.6,4.6,95404,95.404,6.7,,
23,Michigan,MI,16.2,10.3,66794,66.794,8.3,,
24,Minnesota,MN,11.5,7.3,81824,81.824,4.7,,
25,Mississippi,MS,21.5,18.8,54887,54.887,9.8,,
26,Missouri,MO,15.5,12.9,65169,65.169,6.8,,
27,Montana,MT,15.4,12.9,62309,62.309,4.9,,
28,Nebraska,NE,12.4,12.4,68359,68.359,4.2,,
29,Nevada,NV,15.2,17.1,67029,67.029,8.9,,
30,New Hampshire,NH,9.2,11.4,86622,86.622,5.1,,
31,New Jersey,NJ,11.1,12.5,99055,99.055,7.5,,
32,New Mexico,NM,21.3,15.4,61470,61.47,8.7,,
33,New York,NY,15.9,12.3,86563,86.563,7.3,,
34,North Carolina,NC,17.2,16.1,65099,65.099,8.3,,
35,North Dakota,ND,11.5,8.8,79136,79.136,3,,
36,Ohio,OH,15.8,10.2,66252,66.252,7.2,,
37,Oklahoma,OK,16.6,13.9,64584,64.584,5.7,,
38,Oregon,OR,16.6,11,69210,69.21,7.8,,
39,Pennsylvania,PA,13.6,10.1,73112,73.112,7,,
40,Rhode Island,RI,14.3,8,77146,77.146,7.8,,
41,South Carolina,SC,18,17.1,61903,61.903,8.1,,
42,South Dakota,SD,14.2,9.9,66580,66.58,3.9,,
43,Tennessee,TN,18.3,14.2,62734,62.734,7.8,,
44,Texas,TX,17.2,24.9,75557,75.557,6.1,,
45,Utah,UT,11.7,13.9,77413,77.413,5,,
46,Vermont,VT,12.2,6.7,69973,69.973,5.5,,
47,Virginia,VA,11.8,13.1,88457,88.457,6.1,,
48,Washington,WA,13.2,10.7,81218,81.218,6.5,,
49,West Virginia,WV,18.3,10.1,54877,54.877,6.9,,
50,Wisconsin,WI,13.2,8.5,68953,68.953,5.3,,
51,Wyoming,WY,11.2,15.1,72305,72.305,4.3,,
